file,mean,std,rms,max,min,peak_to_peak,health_stage
2003.10.22.12.06.24,-0.09459287109375,0.0811240654056972,0.1246138190821948,0.388,-0.72,1.108,Healthy
2003.10.22.12.09.13,-0.09490263671875,0.0795173596870973,0.1238111958064829,0.388,-0.654,1.042,Healthy
2003.10.22.12.14.13,-0.09618681640625,0.0802188505259657,0.125246370877438,0.317,-0.623,0.94,Healthy
2003.10.22.12.19.13,-0.095612744140625,0.080826519774342,0.1251974606387471,0.457,-0.598,1.055,Healthy
2003.10.22.12.24.13,-0.095133056640625,0.0820362559091453,0.12561814016563,0.388,-0.623,1.011,Healthy
2003.10.22.12.29.13,-0.095882373046875,0.0817306526753059,0.1259881061087092,0.432,-0.564,0.996,Healthy
2003.10.22.12.34.13,-0.0955732910156249,0.08131522807098,0.1254834547345162,0.439,-0.667,1.106,Healthy
2003.10.22.12.39.13,-0.095951806640625,0.0802312211776708,0.1250739131083471,0.381,-0.603,0.984,Healthy
2003.10.22.12.44.13,-0.095882080078125,0.0808146144908093,0.125395599200403,0.413,-0.696,1.109,Healthy
2003.10.22.12.49.13,-0.09476796875,0.0812483842049176,0.1248276632314027,0.479,-0.625,1.104,Healthy
2003.10.22.12.54.13,-0.09535458984375,0.0810396117417351,0.125138306688165,0.288,-0.557,0.845,Healthy
2003.10.22.12.59.13,-0.0950890136718749,0.0808557098728212,0.1248168543071833,0.356,-0.557,0.913,Healthy
2003.10.22.13.04.13,-0.0949848144531249,0.0799338116365714,0.1241419237660192,0.354,-0.552,0.906,Healthy
2003.10.22.13.09.13,-0.0953294921875,0.0800010097434693,0.1244490302606352,0.42,-0.623,1.043,Healthy
2003.10.22.13.14.13,-0.0955779296875,0.0800604908347154,0.1246776237473318,0.283,-0.688,0.971,Healthy
2003.10.22.13.19.13,-0.095716015625,0.0858088296687871,0.1285470784078249,0.378,-0.588,0.966,Healthy
2003.10.22.13.24.13,-0.095774072265625,0.0828318540911013,0.1266232757240079,0.437,-0.613,1.05,Healthy
2003.10.22.13.29.13,-0.0957216308593749,0.0839727818875323,0.1273330844843431,0.369,-0.518,0.887,Healthy
2003.10.22.13.34.13,-0.094564599609375,0.0831464052149393,0.1259184284954574,0.33,-0.645,0.975,Healthy
2003.10.22.13.39.13,-0.09601630859375,0.0821529988385786,0.1263642243180402,0.291,-0.601,0.8919999999999999,Healthy
2003.10.22.13.44.13,-0.0952931152343749,0.0831150873868175,0.126445870837893,0.33,-0.615,0.945,Healthy
2003.10.22.13.49.13,-0.09546318359375,0.0840937546451131,0.127218841731114,0.359,-0.574,0.933,Healthy
2003.10.22.13.54.13,-0.094581591796875,0.0836888616293926,0.1262899880591663,0.381,-0.591,0.972,Healthy
2003.10.22.13.59.13,-0.0949105957031249,0.0855133281341287,0.1277505123598458,0.33,-0.635,0.965,Healthy
2003.10.22.14.04.13,-0.093411767578125,0.0839537839059165,0.1255932004606663,0.398,-0.51,0.908,Healthy
2003.10.22.14.09.13,-0.0947822265625,0.0827371998970972,0.1258124813710865,0.361,-0.623,0.984,Healthy
2003.10.22.14.14.13,-0.0954230957031249,0.0834302909716857,0.1267510977131337,0.393,-0.562,0.955,Healthy
2003.10.22.14.19.13,-0.0952873046874999,0.0822797074988013,0.1258939638613335,0.295,-0.527,0.8220000000000001,Healthy
2003.10.22.14.24.13,-0.095375244140625,0.0849292519871507,0.1277069412436022,0.417,-0.745,1.162,Healthy
2003.10.22.14.29.13,-0.096523095703125,0.083121511986703,0.1273795760570915,0.3,-0.574,0.8739999999999999,Healthy
2003.10.22.14.34.13,-0.09582802734375,0.0815328286290893,0.125818473917411,0.278,-0.605,0.883,Healthy
2003.10.22.14.39.13,-0.09548857421875,0.0828976918387414,0.1264506210752343,0.386,-0.542,0.928,Healthy
2003.10.22.14.44.13,-0.095424951171875,0.0838025743101401,0.1269978340504893,0.391,-0.623,1.014,Healthy
2003.10.22.14.49.13,-0.094576025390625,0.0835229746285939,0.126175953494453,0.349,-0.728,1.077,Healthy
2003.10.22.14.54.13,-0.09538544921875,0.0828401934124086,0.1263350564347639,0.33,-0.623,0.953,Healthy
2003.10.22.14.59.13,-0.0952272949218749,0.0821588272866969,0.1257695551628428,0.31,-0.542,0.8520000000000001,Healthy
2003.10.22.15.04.13,-0.0951837890625,0.0821364814972745,0.1257220182740726,0.383,-0.574,0.957,Healthy
2003.10.22.15.09.13,-0.09436435546875,0.0825056840985176,0.1253454710365516,0.361,-0.547,0.908,Healthy
2003.10.22.15.14.13,-0.095138671875,0.0823984731826085,0.1258592219505587,0.503,-0.698,1.201,Healthy
2003.10.22.15.19.13,-0.094700634765625,0.0820163862365122,0.1252779684731741,0.366,-0.576,0.942,Healthy
2003.10.22.15.24.13,-0.095975830078125,0.0806711238180772,0.1253749273663174,0.398,-0.632,1.03,Healthy
2003.10.22.15.29.13,-0.09514970703125,0.0816894080202351,0.125404546540262,0.461,-0.71,1.171,Healthy
2003.10.22.15.37.48,-0.095093994140625,0.0818700448063724,0.1254800568924575,0.349,-0.566,0.915,Healthy
2003.10.22.15.44.13,-0.0957292480468749,0.0801392525777603,0.1248442034957345,0.435,-0.557,0.992,Healthy
2003.10.22.15.54.13,-0.096741455078125,0.0812024680213975,0.1263029214963598,0.413,-0.769,1.182,Healthy
2003.10.22.16.04.13,-0.09587705078125,0.0820333773202914,0.1261806453995124,0.374,-0.647,1.021,Healthy
2003.10.22.16.14.13,-0.09518466796875,0.0817375661342557,0.1254624426341156,0.305,-0.53,0.835,Healthy
2003.10.22.16.24.13,-0.095066943359375,0.0822587635804441,0.1257135534052141,0.471,-0.671,1.142,Healthy
2003.10.22.16.34.13,-0.095705517578125,0.0818446823425995,0.1259276421002231,0.457,-0.608,1.065,Healthy
2003.10.22.16.44.13,-0.095668408203125,0.0809078967483605,0.1252925075619922,0.388,-0.718,1.106,Healthy
2003.10.22.16.54.13,-0.095458935546875,0.0845682397268984,0.127529786081098,0.486,-0.637,1.123,Early_Degradation
2003.10.22.17.04.13,-0.09455498046875,0.0848796685738895,0.1270623889417862,0.476,-0.608,1.084,Early_Degradation
2003.10.22.17.14.13,-0.095533544921875,0.082765368386437,0.1263979031932121,0.391,-0.627,1.018,Early_Degradation
2003.10.22.17.19.38,-0.0943640625,0.0811821555966803,0.1244780979730972,0.361,-0.679,1.04,Early_Degradation
2003.10.22.17.24.13,-0.0953182128906249,0.0838724605486689,0.1269638053199734,0.369,-0.637,1.006,Early_Degradation
2003.10.22.17.34.13,-0.097152490234375,0.0849534959728063,0.1290556098720746,0.356,-0.569,0.925,Early_Degradation
2003.10.22.17.44.13,-0.095129443359375,0.0817338442880137,0.1254181250996666,0.312,-0.591,0.903,Early_Degradation
2003.10.22.17.54.13,-0.095120751953125,0.08114154189324,0.1250263403887981,0.381,-0.566,0.947,Early_Degradation
2003.10.22.18.04.13,-0.094605908203125,0.0810381298490623,0.1245677955707628,0.457,-0.703,1.16,Early_Degradation
2003.10.22.18.14.13,-0.09508564453125,0.0794152218948086,0.1238860335808934,0.354,-0.522,0.876,Early_Degradation
2003.10.22.18.24.13,-0.0950677734375,0.085048000891901,0.1275566180968768,0.403,-0.608,1.011,Early_Degradation
